Date,Actual Value,Predicted Value
2023-05-12,173.75,171.81200000000004
2023-06-27,185.27,187.08670000000006
2023-06-01,177.25,177.73729999999992
2023-07-10,190.68,188.13980000000004
2023-07-11,188.61,187.97430000000008
2023-07-18,193.99,192.68634999999986
2023-08-10,178.19,179.03829999999988
2023-05-17,172.07,171.4353000000001
2023-08-28,178.61,178.8161
2023-09-12,179.36,178.1683999999999
2023-08-16,177.45,176.36099999999996
2023-07-31,195.83,195.35595000000015
2023-05-26,172.99,173.92875
2023-07-26,193.62,193.79029999999992
2023-05-03,168.54,167.7035000000001
2023-09-06,189.7,186.55949999999996
2023-05-23,174.2,172.47439999999997
2023-05-22,175.16,173.61714999999995
2023-08-24,181.12,177.93249999999986
2023-07-28,193.22,195.00740000000005
